Category: All categories

Country,Armenian Genocide: (1/1/04 - 10/5/19)
Armenia,100
Lebanon,28
Cyprus,6
United States,6
Canada,4
Georgia,4
Syria,4
Azerbaijan,3
Australia,3
Iceland,
Ireland,3
New Zealand,2
United Arab Emirates,2
North Macedonia,
Qatar,
St. Helena,
Kosovo,
United Kingdom,2
Malta,
Sweden,2
Greece,2
Trinidad & Tobago,
Kuwait,
Bahrain,
Israel,2
Norway,2
Jordan,
Turkey,1
Netherlands,1
Albania,
Luxembourg,
Bosnia & Herzegovina,
Puerto Rico,
South Africa,1
Denmark,1
Mauritius,
Bulgaria,1
Jamaica,
Singapore,1
Belgium,1
Estonia,
Croatia,1
Kenya,
Ethiopia,
Iraq,
Switzerland,1
Romania,1
Czechia,1
Lithuania,
Philippines,1
Hong Kong,1
Egypt,1
Bangladesh,
Serbia,
Finland,1
Austria,1
Latvia,
Oman,
Malaysia,1
Uruguay,
Iran,1
Slovenia,
Ghana,
Nigeria,
Slovakia,
Tanzania,
Panama,
Portugal,1
Pakistan,<1
Hungary,<1
Germany,<1
Dominican Republic,
South Korea,<1
Sri Lanka,
Costa Rica,
France,<1
Russia,<1
Saudi Arabia,<1
Italy,<1
Argentina,<1
India,<1
Spain,<1
Poland,<1
Indonesia,<1
Kazakhstan,
Mexico,<1
Tunisia,
Morocco,
Thailand,<1
Colombia,
Taiwan,
Chile,
Venezuela,
Ecuador,
Ukraine,
China,
Bolivia,
Brazil,<1
Peru,
Vietnam,
Japan,<1
Falkland Islands (Islas Malvinas),
Palau,
Micronesia,
Tonga,
Central African Republic,
Grenada,
St. Vincent & Grenadines,
British Virgin Islands,
Sint Maarten,
Equatorial Guinea,
Rwanda,
Faroe Islands,
Cayman Islands,
Eswatini,
Northern Mariana Islands,
Dominica,
Bermuda,
Åland Islands,
Guam,
San Marino,
Djibouti,
St. Kitts & Nevis,
Curaçao,
Mayotte,
South Sudan,
Gibraltar,
Bahamas,
Aruba,
Guernsey,
Jersey,
Guyana,
Monaco,
U.S. Virgin Islands,
Maldives,
Timor-Leste,
Fiji,
Barbados,
Burundi,
Gambia,
Afghanistan,
St. Lucia,
Antigua & Barbuda,
Brunei,
Liberia,
Namibia,
French Polynesia,
Botswana,
Isle of Man,
Togo,
Myanmar (Burma),
Cambodia,
Papua New Guinea,
Belize,
Uganda,
Suriname,
Turkmenistan,
Haiti,
Montenegro,
Gabon,
Macao,
Somalia,
Cameroon,
Palestine,
Zimbabwe,
Nepal,
Malawi,
Cuba,
Mongolia,
New Caledonia,
Burkina Faso,
Mali,
Senegal,
Mozambique,
Côte d’Ivoire,
Angola,
Moldova,
Paraguay,
Nicaragua,
Zambia,
Uzbekistan,
Kyrgyzstan,
Guadeloupe,
El Salvador,
Libya,
Congo - Kinshasa,
Laos,
Yemen,
Guatemala,
Honduras,
Sudan,
Algeria,
Belarus,
Anguilla,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Benin,
Caribbean Netherlands,
St. Barthélemy,
Bhutan,
Bouvet Island,
Cocos (Keeling) Islands,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Christmas Island,
Eritrea,
Western Sahara,
Guinea,
Guinea-Bissau,
Greenland,
French Guiana,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
Liechtenstein,
Lesotho,
St. Martin,
Madagascar,
Marshall Islands,
Mauritania,
Montserrat,
Martinique,
Niger,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
North Korea,
Réunion,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
St. Pierre & Miquelon,
São Tomé & Príncipe,
Seychelles,
Turks & Caicos Islands,
Chad,
Tajikistan,
Tokelau,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Vanuatu,
Wallis & Futuna,
Samoa,
