Category: All categories

Month,Armenian Genocide: (Worldwide)
2004-01,10
2004-02,9
2004-03,12
2004-04,29
2004-05,16
2004-06,6
2004-07,5
2004-08,4
2004-09,5
2004-10,8
2004-11,9
2004-12,9
2005-01,11
2005-02,13
2005-03,12
2005-04,35
2005-05,21
2005-06,8
2005-07,5
2005-08,5
2005-09,8
2005-10,8
2005-11,10
2005-12,9
2006-01,8
2006-02,10
2006-03,13
2006-04,28
2006-05,14
2006-06,6
2006-07,3
2006-08,4
2006-09,6
2006-10,17
2006-11,12
2006-12,8
2007-01,12
2007-02,11
2007-03,14
2007-04,20
2007-05,14
2007-06,5
2007-07,5
2007-08,6
2007-09,6
2007-10,38
2007-11,10
2007-12,6
2008-01,7
2008-02,9
2008-03,8
2008-04,19
2008-05,10
2008-06,5
2008-07,3
2008-08,3
2008-09,4
2008-10,5
2008-11,7
2008-12,7
2009-01,6
2009-02,7
2009-03,9
2009-04,23
2009-05,10
2009-06,6
2009-07,3
2009-08,4
2009-09,5
2009-10,7
2009-11,6
2009-12,6
2010-01,6
2010-02,7
2010-03,22
2010-04,22
2010-05,10
2010-06,6
2010-07,4
2010-08,3
2010-09,5
2010-10,5
2010-11,5
2010-12,7
2011-01,5
2011-02,6
2011-03,7
2011-04,17
2011-05,8
2011-06,5
2011-07,4
2011-08,4
2011-09,5
2011-10,5
2011-11,6
2011-12,9
2012-01,10
2012-02,8
2012-03,13
2012-04,23
2012-05,9
2012-06,6
2012-07,6
2012-08,3
2012-09,4
2012-10,4
2012-11,5
2012-12,5
2013-01,5
2013-02,6
2013-03,6
2013-04,21
2013-05,9
2013-06,6
2013-07,4
2013-08,4
2013-09,4
2013-10,4
2013-11,5
2013-12,5
2014-01,5
2014-02,6
2014-03,7
2014-04,22
2014-05,9
2014-06,5
2014-07,5
2014-08,5
2014-09,5
2014-10,5
2014-11,6
2014-12,5
2015-01,8
2015-02,10
2015-03,13
2015-04,100
2015-05,16
2015-06,8
2015-07,6
2015-08,5
2015-09,12
2015-10,8
2015-11,7
2015-12,8
2016-01,6
2016-02,8
2016-03,9
2016-04,25
2016-05,10
2016-06,14
2016-07,6
2016-08,4
2016-09,7
2016-10,6
2016-11,6
2016-12,7
2017-01,7
2017-02,8
2017-03,10
2017-04,35
2017-05,12
2017-06,5
2017-07,6
2017-08,6
2017-09,6
2017-10,6
2017-11,6
2017-12,5
2018-01,6
2018-02,8
2018-03,7
2018-04,18
2018-05,9
2018-06,5
2018-07,3
2018-08,4
2018-09,4
2018-10,4
2018-11,4
2018-12,5
2019-01,5
2019-02,6
2019-03,8
2019-04,19
2019-05,8
2019-06,5
2019-07,3
2019-08,4
2019-09,4
2019-10,6
