Category: All categories

Country,դուխով: (1/1/04 - 10/5/19)
Armenia,100
Russia,<1
Canada,<1
France,<1
United States,<1
Germany,<1
Georgia,
Azerbaijan,
Syria,
Lebanon,
Belarus,
Kazakhstan,
Iraq,
Iran,
Czechia,
Israel,
Belgium,
Greece,
Netherlands,
Sweden,
Ukraine,
Australia,
Spain,
Turkey,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
United Arab Emirates,
Argentina,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Austria,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bangladesh,
Bulgaria,
Bahrain,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belize,
Bermuda,
Bolivia,
Brazil,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Switzerland,
Chile,
China,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Colombia,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Denmark,
Dominican Republic,
Algeria,
Ecuador,
Egypt,
Eritrea,
Western Sahara,
Estonia,
Ethiopia,
Finland,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
United Kingdom,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Hungary,
Indonesia,
Isle of Man,
India,
British Indian Ocean Territory,
Ireland,
Iceland,
Italy,
Jamaica,
Jersey,
Jordan,
Japan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
South Korea,
Kuwait,
Laos,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macao,
St. Martin,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Mexico,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Malaysia,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Norway,
Nepal,
Nauru,
New Zealand,
Oman,
Pakistan,
Panama,
Pitcairn Islands,
Peru,
Philippines,
Palau,
Papua New Guinea,
Poland,
Puerto Rico,
North Korea,
Portugal,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Romania,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
Singapore,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Slovenia,
Eswatini,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Togo,
Thailand,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Tuvalu,
Taiwan,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Vietnam,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
South Africa,
Zambia,
Zimbabwe,
